"lat"	"lon"
-25.57	-54.1
5.36263	-48.7734
-27.118	-48.537
-25.38	-50.38
-25.5328	-49.545
-53.773	-37.97
-13.8894	-38.9429
-53.841	-39.258
-16.466	-58.153
-27.961	-48.683
-0.574	-79.362
-30.4511	-50.4317
-3.19328	-39.5323
7.163	-73.551
-21.037	-52.12
-21.037	-52.12
-9	-34.59
-22.7514	-53.2981
6.838	-75.176
-26.3667	-48.6662
-12.125	-77.8718
-4.217	-55.891
-3.16	-72.25
16.19	114.89
-9	-34.59
-2.85215	-66.9406
6.805	-75.138
3.059	-69.531
-15.5464	-38.9612
-8.75453	-35.0873
-10.079	-67.543
-4.1508	-70.0133
-8.332	-63.483
-5.63	-57.253
6.78	-75.086
7.177	-75.611
-20.9253	-40.7536
-22.935	-50.262
-8.332	-63.483
6.985	-75.09
-16.993	-56.436
-29.32	-54
0.60525	-63.357
-12.93	-38.51
-14.1828	-41.0153
-13.2179	-76.3354
-15.5058	-47.9784
3.73383	-59.8427
1.83191	-57.0733
-2.0175	-58.1739
-15.5324	-47.7111
-15.5324	-47.7111
-15.5416	-47.9662
-14.5677	-40.072
-13.8894	-38.9429
-23.4517	-45.1067
-22.3656	-44.4933
-27.265	-54.054
-12.99	-38.61
1.4558	-56.7792
-16.993	-56.436
3.73383	-59.8427
-14.339	-57.51
-9.36412	-56.7793
-13.8894	-38.9429
-13.8894	-38.9429
-53.595	-37.287
-12.9517	-38.355
-4.89086	-43.415
-23.0005	-43.581
-32.5988	-53.2414
2.08174	-50.4987
-20.025	-43.46
-13.8894	-38.9429
-13.0099	-38.5322
-18.0139	-40.5994
-13.733	-46.358
6.497	-74.398
-18.95	-39.725
-12.0765	-77.208
-18.0739	-40.5703
-9	-34.59
-16.277	-55.988
-9	-34.59
-13.255	-76.3059
-13.335	-50.704
-7.289	-60.636
-8.32047	-63.4718
-12.2015	-64.591
-5.01556	-62.9828
-18.953	-42.361
-14.7901	-40.1851
-4.552	-56.289
-4.552	-56.289
4.827	-73.177
-21.9811	-42.8933
-9	-34.59
-22.944	-50.527
-14.7177	-39.188
-15.5192	-39.4977
-15.2504	-39.4595
-21.1358	-41.659
-11.0887	-43.1328
-9.62462	-37.7443
-28.6456	-50.285
-26.15	-48.55
-14.6516	-44.092
-2.14444	-79.1225
-3.15	-64.8
0.02	-67.17
-14.7259	-40.1284
-26.7384	-48.9591
-21.8389	-48.9319
-9	-34.59
-24.212	-46.976
-22.6636	-43.0867
3.881	-76.346
-5.51317	-81.2787
-23.886	-51.591
-10.8031	-40.3801
-10.9603	-37.6577
-13.7601	-41.0341
-14.0824	-39.1059
-13.3988	-44.3337
-9.46441	-40.5728
0.751763	-79.8967
-1.41	-61.63
-2.51	-42.735
-30.0031	-51.2677
-0.989113	-62.8892
-2.94	-44.2408
-11.0322	-50.9415
5.459	-75.653
-22.8674	-43.2243
-17.7431	-40.7947
-9	-34.59
-22.869	-48.367
-22.639	-52.16
-3.87	-73.23
-24.5	-54.2
-22.0275	-41.5261
-31.7133	-52.3008
-23.513	-50.953
-22.944	-50.527
-22.936	-50.262
-4.89086	-43.415
-4.552	-56.289
-2.175	-58.174
6.773	-76.792
5.016	-75.331
-28.556	-49.494
-30.0031	-51.2677
-12.2924	-55.5652
-11.8879	-55.8698
-11.947	-77.164
-22.909	-49.996
1.65166	-69.2068
-4.217	-55.891
3.68763	-59.9504
-3.1	-60.0167
-3.1	-60.0167
-22.639	-52.16
-14.5816	-40.0072
-26.3667	-48.6662
-23.1997	-44.7239
-14.3696	-40.1963
-14.8104	-40.1601
-16.597	-42.839
-13.8894	-38.9429
4.1364	-72.9294
-3.69	-73.27
1.4404	-56.7752
-27.197	-53.708
4.1364	-72.9294
-3.86678	-33.802
2.88311	-52.3278
-14.8104	-40.1601
31.3548	-84.2257
-22.936	-50.262
-4.552	-56.289
-29.514	-56.725
-22.9758	-43.2002
-3.16	-72.25
-3.69	-73.27
-19.979	-41.714
-7.289	-60.636
-16.277	-55.988
-30.4511	-50.4317
-15.768	-52.088
-3.69	-73.27
3.522	-76.2428
-54.655	-35.433
-3.69	-73.27
-14.6511	-39.5739
-15.4915	-39.4345
-15.2147	-39.5211
-14.6832	-39.4526
-23.189	-50.966
-12.93	-38.51
-16.9382	-42.0167
-15.0944	-39.3514
-22.6759	-45.6834
-16.993	-56.436
-5.54	-37.29
-14.5816	-40.0072
-14.8104	-40.1601
-29.6686	-51.4299
-29.9939	-53.9369
-12.8478	-38.632
-3.87	-73.23
-15.5922	-47.6666
-19.9526	-40.1654
-54.968	-35.37
-5.886	-50.532
-13.404	-41.6356
-18.9503	-42.3611
-12.93	-38.51
-15.5324	-47.7111
-3.69	-73.27
-25.9667	-70.8667
-3.69	-73.27
-17.9358	-39.025
6.839	-75.19
-22.639	-52.16
-25.56	-51.33
-26.3667	-48.6662
-22.6636	-43.0867
-9	-34.59
-24.51	-49.58
-26.3667	-48.6662
-22.639	-52.16
6.805	-75.138
-17.026	-39.6
-31.8053	-52.4191
-29.6686	-51.4299
-22.936	-50.262
-23.513	-50.953
2.79952	-60.6667
-15.9	-56.021
6.497	-74.398
-13.8894	-38.9429
-14.8084	-39.6536
2.79952	-60.6667
-14.5799	-40.0746
-14.6251	-40.0964
-16.086	-39.619
-25.117	-49.916
-2.615	-44.47
9.45633	76.6732
-8.666	-74.802
-25.25	-50.19
-30.4511	-50.4317
-14.6511	-39.5739
-13.8894	-38.9429
-14.6251	-40.0964
-22.944	-50.527
-26.15	-48.55
-14.6982	-40.0647
-20.9246	-40.7521
-21.9259	-47.3679
-13.474	-38.914
-7.235	-80.3735
-22.909	-49.996
6.497	-74.398
6.497	-74.398
-14.1828	-41.0153
-2.88136	-40.9615
-13.8894	-38.9429
-22.944	-50.527
6.577	-74.397
-1.238	-79.673
5.46	-75.736
-23.124	-52.451
-22.546	-52.028
-4.552	-56.289
-13.8894	-38.9429
-21.037	-52.12
-14.1828	-41.0153
-15.5857	-47.5074
-14.7259	-40.1284
-27.6093	-48.386
-4.719	-56.639
-22.944	-50.527
-31.7133	-52.3008
-16.382	-42.476
-9	-34.59
-0.8697	-44.2642
-9.19183	-64.6242
0.94908	-62.929
-4.552	-56.289
-28.13	-54.93
-15.915	-47.9112
-15.8499	-47.387
-3.84014	-59.1698
-0.398056	-62.8628
-13.8894	-38.9429
-15.6052	-47.6928
-15.6018	-47.9112
-14.6251	-40.0964
-9.50067	-78.4922
-26.16	-51.2
3.94888	-67.9295
3.67	-43.11
-9.453	-64.416
4.1364	-72.9294
-22.7514	-53.2981
-15.6256	-47.3943
6.838	-75.176
-25.38	-50.38
4.1364	-72.9294
7.302	-75.07
-23.0005	-43.581
-27.6983	-48.727
-13.8894	-38.9429
-19.022	-42.122
-13.8894	-38.9429
-23.071	-50.362
-19.9965	-41.7397
-9	-34.59
-9	-34.59
-7.289	-60.636
-4.997	-62.994
-26.16	-51.02
-3.428	-52.228
-18.243	-45.236
0.88777	-59.5744
-4.217	-55.891
-4.279	-53.493
-27.265	-54.054
-26.15	-48.505
-13.8894	-38.9429
-18.725	-44.352
-18.725	-44.352
-20.287	-43.632
-17.984	-44.169
-17.602	-44.667
-17.984	-44.169
