species,habitat
Paralabrax humeralis,Marine
Characidium phoxocephalum,Freshwater
Schizodon knerii,Freshwater
Hyphessobrycon peruvianus,Freshwater
Hoplias brasiliensis,Freshwater
Nemadoras humeralis,Freshwater
Hemibrycon boquiae,Freshwater
Hypophthalmus edentatus,Freshwater
Monolene maculipinna,Marine
Hypostomus uruguayensis,Freshwater
Centromochlus heckelii,Freshwater
Astyanax taeniatus,Freshwater
Eleotris perniger,Freshwater
Hypostomus watwata,Freshwater
Conodon nobilis,Marine
Stegastes beebei,Marine
Leporinus steindachneri,Freshwater
Characidium chancoense,Unknown
Sparisoma rubripinne,Marine
Psalidodon bifasciatus,Freshwater
Retroculus lapidifer,Freshwater
Geophagus steindachneri,Freshwater
Pimelodus blochii,Freshwater
Synchiropus atrilabiatus,Marine
Kronichthys lacerta,Freshwater
Astroblepus nicefori,Freshwater
Hoplias mbigua,Freshwater
Stromateus stellatus,Marine
Hasemania hanseni,Freshwater
Menticirrhus ophicephalus,Marine
Seriola rivoliana,Marine
Balistes capriscus,Marine
Brycon nattereri,Freshwater
Hirundichthys coromandelensis,Marine
Psectrogaster curviventris,Freshwater
Compsaraia samueli,Freshwater
Laemolyta proxima,Freshwater
Bryconamericus multiradiatus,Freshwater
Hypostomus variipictus,Freshwater
Cyphocharax gilbert,Freshwater
Eigenmannia macrops,Freshwater
Apteronotus caudimaculosus,Freshwater
Serrivomer sector,Marine
Tympanopleura longipinna,Freshwater
Characidium pterostictum,Freshwater
Amaralia hypsiura,Freshwater
Rypticus randalli,Marine
Orthosternarchus tamandua,Freshwater
Bryconamericus tenuis,Freshwater
Psalidodon bockmanni,Freshwater
Sternarchella orthos,Freshwater
Cheilodactylus variegatus,Marine
Pterygoplichthys chrysostiktos,Unknown
Australoheros ribeirae,Freshwater
Peprilus crenulatus,Marine
Brachyhypopomus bombilla,Freshwater
Brachyplatystoma rousseauxii,Freshwater
Apistogramma baenschi,Freshwater
Tympanopleura rondoni,Freshwater
Trichomycterus banneaui,Freshwater
Serrasalmus gibbus,Freshwater
Cynoscion acoupa,Marine and freshwater
Hypostomus scabriceps,Freshwater
Mycteroperca bonaci,Marine
Trichopodus leerii,Freshwater
Laemolyta fernandezi,Freshwater
Oligosarcus robustus,Freshwater
Scomber australasicus,Marine
Anostomoides atrianalis,Freshwater
Hypostomus plecostomoides,Freshwater
Scomber colias,Marine
Bryconamericus caucanus,Freshwater
Serrasalmus spilopleura,Freshwater
Gymnothorax vicinus,Marine
Apteronotus galvisi,Freshwater
Moema hellneri,Freshwater
Neoplecostomus yapo,Freshwater
Cynoscion phoxocephalus,Marine
Bryconamericus ikaa,Freshwater
Corydoras axelrodi,Freshwater
Echeneis naucrates,Marine
Mylesinus paucisquamatus,Freshwater
Symphurus ginsburgi,Marine
Psalidodon dissensus,Freshwater
Leptodoras hasemani,Freshwater
Bryconamericus cismontanus,Freshwater
Cypselurus oligolepis,Marine
Sternarchogiton labiatus,Freshwater
Creagrutus brevipinnis,Freshwater
Hypostomus ericae,Freshwater
Hypostomus pusarum,Freshwater
Cichla orinocensis,Freshwater
Argopleura magdalenensis,Freshwater
Apteronotus anu,Unknown
Sternarchorhynchus goeldii,Freshwater
Bunocephalus aloikae,Freshwater
Cyphocharax voga,Freshwater
Astyanax pirapuan,Freshwater
Haemulon bonariense,Marine
Anisotremus taeniatus,Marine
Bathygobius lineatus,Marine
Neoplecostomus ribeirensis,Freshwater
Deuterodon pedri,Freshwater
Pimelodella modesta,Freshwater
Trichomycterus septemradiatus,Unknown
Cypselurus poecilopterus,Marine
Prochilodus argenteus,Freshwater
Ageneiosus dentatus,Unknown
Knodus breviceps,Freshwater
Lagocephalus laevigatus,Marine
Sarotherodon lohbergeri,Freshwater
Brycon falcatus,Freshwater
Brycon moorei,Freshwater
Sarotherodon linnellii,Freshwater
Pungu maclareni,Freshwater
Ogcocephalus vespertilio,Marine
Serrapinnus heterodon,Freshwater
Ogcocephalus declivirostris,Marine
Odontesthes smitti,Freshwater
Hemibrycon caucanus,Unknown
Leporinus jatuncochi,Freshwater
Hypostomus nigromaculatus,Freshwater
Metynnis cuiaba,Freshwater
Poecilia formosa,Freshwater
Serrasalmus compressus,Freshwater
Albula vulpes,Marine
Atlantirivulus santensis,Freshwater
Harttia gracilis,Freshwater
Heptapterus multiradiatus,Freshwater
Poecilia vivipara,Freshwater
Platystomatichthys sturio,Freshwater
Mikrogeophagus ramirezi,Freshwater
Pseudauchenipterus nodosus,Freshwater
Crenicichla saxatilis,Freshwater
Erythrinus erythrinus,Freshwater
Aspidoras fuscoguttatus,Freshwater
Astyanax abramis,Freshwater
Paranthias furcifer,Marine
Scorpaena plumieri,Marine
Gymnotus jonasi,Freshwater
Cephalopholis fulva,Marine
Coptodon rendalli,Freshwater
Rhamdia branneri,Freshwater
Rhamdia guatemalensis,Freshwater
Ichthyoelephas longirostris,Freshwater
Hemibrycon palomae,Freshwater
Merluccius productus,Marine
Leporinus paranensis,Freshwater
Cynoscion jamaicensis,Marine
Psalidodon rivularis,Freshwater
Oligosarcus brevioris,Freshwater
Chromis alta,Marine
